date,open,high,low,close,volume
2024-01-02,2273.65,2335.67,2218.13,2280.0,741869
2024-01-03,2299.23,2327.5,2217.0,2244.61,1228599
2024-01-04,2243.34,2295.7,2198.13,2250.35,1022033
2024-01-05,2220.81,2286.94,2162.91,2228.84,1112317
2024-01-06,2236.69,2290.19,2101.19,2152.68,1105323
2024-01-07,2146.34,2274.21,2102.7,2228.9,719506
2024-01-08,2239.97,2315.14,2128.11,2202.01,1031994
2024-01-09,2189.57,2291.85,2170.63,2272.2,1126985
2024-01-10,2269.99,2319.41,2185.46,2234.1,884131
2024-01-11,2215.98,2276.57,2197.33,2257.56,896163
2024-01-12,2263.45,2343.25,2231.57,2310.71,1039790
2024-01-13,2312.82,2384.42,2250.64,2322.0,1091640
2024-01-14,2325.33,2357.91,2272.61,2304.9,822933
2024-01-15,2305.19,2352.49,2247.83,2294.92,1116685
2024-01-16,2285.79,2316.95,2238.89,2269.83,883057
2024-01-17,2268.2,2411.69,2165.61,2307.33,1843106
2024-01-18,2303.69,2323.03,2287.97,2307.28,761000
2024-01-19,2306.0,2350.38,2243.41,2287.44,1294457
2024-01-20,2298.65,2328.89,2248.02,2277.99,1133257
2024-01-21,2275.37,2375.41,2187.93,2287.51,855618
2024-01-22,2286.17,2300.76,2231.59,2245.93,711264
2024-01-23,2244.63,2278.47,2183.13,2216.54,1231839
2024-01-24,2210.47,2270.21,2178.57,2237.91,1160115
2024-01-25,2252.25,2327.71,2210.05,2284.9,616833
2024-01-26,2306.91,2326.27,2283.36,2302.68,1162838
2024-01-27,2307.44,2340.38,2260.85,2293.6,1273795
2024-01-28,2287.62,2403.28,2195.57,2310.32,850401
2024-01-29,2298.09,2356.98,2247.95,2306.66,940314
2024-01-30,2312.55,2329.88,2284.33,2301.57,945377
2024-01-31,2303.4,2334.74,2219.88,2250.5,1543084
2024-02-01,2258.99,2298.53,2185.58,2224.52,1162531
2024-02-02,2219.53,2324.64,2176.75,2280.68,787639
2024-02-03,2291.49,2342.72,2242.06,2293.25,1244391
2024-02-04,2292.84,2331.92,2262.58,2301.54,1090958
